"Z13U_REC_KEY","Z13_TITLE","Z13_IMPRINT","CONTROL_NUMBER","Z13_UPDATE_DATE"
"000912917","Stranger than paradise.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113105","20150715"
"000912918","The honeymoon killers.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113107","20150715"
"000912919","The killing of a Chinese bookie.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113109","20150715"
"000912920","Wise blood.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113111","20150715"
"000912921","American mid-century collection.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113113","20150715"
"000912922","Baron of Arizona.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113115","20150715"
"000912923","Brute force.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113117","20150715"
"000912924","Emperor Jones.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113119","20150715"
"000912925","Foreign correspondent.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113121","20150715"
"000912926","I shot Jesse James.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113123","20150715"
"000912927","Mr. Arkadin.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113125","20150715"
"000912928","Shock corridor.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113127","20150715"
"000912929","Stagecoach.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113129","20150715"
"000912930","Summertime.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113131","20150715"
"000912931","The devil and Daniel Webster.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113133","20150715"
"000912932","The naked city.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113135","20150715"
"000912933","The naked kiss.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113137","20150715"
"000912934","The plough and the stars.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113139","20150715"
"000912935","The steel helmet.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113141","20150715"
"000912936","To be or not to be.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113143","20150715"
"000912937","Silent films from Charlie Chaplin & Harold Lloyd.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113145","20150715"
"000912938","City lights.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113147","20150715"
"000912939","Dr. Jack.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113149","20150715"
"000912940","Get out and get under.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113151","20150715"
"000912941","High and dizzy.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113153","20150715"
"000912942","Modern times.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113155","20150715"
"000912943","Safety last!.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113157","20150715"
"000912944","Speedy.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113159","20150715"
"000912945","Sunnyside.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113161","20150715"
"000912946","The circus.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113163","20150715"
"000912947","The freshman.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113165","20150715"
"000912948","The gold rush.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113167","20150715"
"000913576","IN SEARCH OF THE BRONTES COLLECTION","BBCActive","(CaSfKAN)kan86335","20150715"
"000913531","CITIES OF THE FUTURE COLLECTION","BBCActive","(CaSfKAN)kan86260","20150715"
"000913540","ETA","BBCActive","(CaSfKAN)kan78167","20150715"
"000913552","FRONTIERS COLLECTION","BBCActive","(CaSfKAN)kan83984","20150715"
"000912949","The gold rush.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113169","20150715"
"000912950","The idle class.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113171","20150715"
"000912951","The kid.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113173","20150715"
"000912952","The kid brother.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113175","20150715"
"000912953","The British collection.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113177","20150715"
"000912954","The Browning version.","[San Francisco, California, USA] : Kanopy Streaming, 2014.","(CaSfKAN)kan1113179","20150715"
